koi_disposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag
CONFIRMED,0,0,0,0,54.4183827,162.51384,0.586,4.507,874.8,2.83,443,9.11,25.8,2,5455,4.467,0.927,291.93423,48.141651,15.347
FALSE POSITIVE,0,1,0,0,19.89913995,175.850252,0.969,1.7822,10829,14.6,638,39.3,76.3,1,5853,4.544,0.868,297.00482,48.134129,15.436
FALSE POSITIVE,0,1,0,0,1.736952453,170.307565,1.276,2.40641,8079.2,33.46,1395,891.96,505.6,1,5805,4.564,0.791,285.53461,48.28521,15.597
CONFIRMED,0,0,0,0,2.525591777,171.59555,0.701,1.6545,603.3,2.75,1406,926.16,40.9,1,6031,4.438,1.046,288.75488,48.2262,15.509
CONFIRMED,0,0,0,0,4.13443512,172.97937,0.762,3.1402,686,2.77,1160,427.65,40.2,2,6046,4.486,0.972,296.28613,48.22467,15.714
CONFIRMED,0,0,0,0,2.56658897,179.55437,0.755,2.429,226.5,1.59,1360,807.74,15,3,6046,4.486,0.972,296.28613,48.22467,15.714
CONFIRMED,0,0,0,0,16.06864674,173.621937,0.052,3.5347,4914.3,5.76,600,30.75,161.9,1,5031,4.485,0.848,286.99948,48.37579,15.841
CONFIRMED,0,0,0,0,2.470613377,122.763305,0.818,1.74319,14231,13.04,1339,761.46,4304.3,1,5820,4.457,0.964,286.80847,49.316399,11.338
CONFIRMED,0,1,0,0,2.204735417,121.3585417,0.224,3.88864,6674.7,16.1,2048,4148.92,5945.9,1,6440,4.019,1.952,292.24728,47.969521,10.463
CONFIRMED,0,0,0,0,3.522498429,121.1194228,0.631,3.19843,9145.7,14.59,1521,1264.67,1741.5,1,6225,4.169,1.451,281.28812,42.45108,13.563
CONFIRMED,0,0,0,0,3.709214104,133.98318,0.051,2.6302,131.1,1.16,1206,500.46,50.6,2,5833,4.407,1.022,295.64871,48.49556,12.772
FALSE POSITIVE,0,1,0,0,11.52144606,170.839688,2.483,3.6399,17984,150.51,753,75.88,622.1,1,5795,4.554,0.848,297.07993,47.597401,15.472
FALSE POSITIVE,0,1,0,0,19.22138894,184.5521637,1.065,4.79843,74284,49.29,698,55.97,2317,1,6117,4.496,0.947,295.81454,47.69035,15.341
FALSE POSITIVE,0,1,0,0,16.46983774,180.881761,0.292,9.4378,10479,7.94,595,29.61,303.4,1,5152,4.517,0.786,297.15442,47.668701,15.788
CONFIRMED,0,0,0,0,9.27358173,173.258155,0.387,3.2875,1288.3,2.47,649,41.85,87.2,1,4856,4.583,0.696,288.13824,47.724449,15.302
CONFIRMED,0,0,0,0,6.02930329,171.602959,0.258,1.5821,1912.7,2.85,678,50.04,65.4,1,4537,4.648,0.672,283.71088,47.86327,15.784
FALSE POSITIVE,0,1,1,1,2.696370652,170.73769,0.044,3.6129,397.9,1.58,1066,305.34,48.2,1,4989,4.504,0.819,283.76547,47.804298,15.269
CONFIRMED,0,0,0,0,3.94105221,136.08662,0.226,2.5984,363.3,1.7,1018,253.15,28.9,2,5185,4.44,0.91,292.37613,47.880989,15.416
FALSE POSITIVE,0,1,0,0,386.6030528,166.342079,0.9765,6.8057,24927,41.5,297,1.84,994,1,5543,4.081,1.58,292.27374,37.671558,12.394
CONFIRMED,0,0,0,0,21.67699193,171.53594,0.896,3.4555,857.2,2.95,530,18.64,34.3,1,4954,4.5,0.828,290.46512,47.92918,15.377
CONFIRMED,0,0,0,0,4.99677968,171.74208,0.71,2.1717,934.7,2.78,917,166.95,28.2,1,5339,4.552,0.847,297.80826,47.946671,15.861
CONFIRMED,0,0,0,0,4.280963604,171.89659,0.424,2.875,750.8,2.3,1012,247.87,61.8,1,5644,4.564,0.831,294.26581,49.314091,15.356
FALSE POSITIVE,0,0,1,0,1.50635409,170.998064,0.86,1.5155,2211.7,4.53,1452,1054.12,181.1,1,5714,4.563,0.831,295.66522,49.351009,15.525
FALSE POSITIVE,1,0,0,0,670.645531,209.04355,0.701,53.412,18091,14.14,196,0.35,642.7,1,5520,4.466,0.983,296.69861,49.316479,15.207
FALSE POSITIVE,0,1,0,0,61.2563628,173.83826,1.248,7.633,5123.3,39.87,505,15.43,85.3,1,6144,4.402,1.091,283.72592,49.479519,15.25
CONFIRMED,0,0,0,0,41.19725502,165.00404,0.045,4.6297,2213.9,3.86,439,8.76,51.2,2,5031,4.485,0.848,286.99948,48.37579,15.841
CONFIRMED,0,0,0,0,6.252962249,171.30126,0.105,2.5819,1036.9,2.65,823,108.3,47.1,3,5031,4.485,0.848,286.99948,48.37579,15.841
CONFIRMED,0,0,0,0,32.62876672,194.1019,0.021,4.7971,1804.8,3.36,506,15.55,80,1,5586,4.56,0.798,285.71854,48.505859,15.082
CONFIRMED,0,0,0,0,91.7732862,193.8378,0.606,6.473,652,2.12,359,3.92,19.1,2,5586,4.56,0.798,285.71854,48.505859,15.082
CANDIDATE,0,0,0,0,4.959319244,172.2585292,0.831,2.22739,9802,12.21,1103,349.4,696.5,1,5712,4.359,1.082,292.16705,48.727589,15.263
FALSE POSITIVE,0,1,1,0,2.701287801,170.69579,1.016,3.3827,860.4,6.54,1222,527.81,48.3,1,5550,4.468,0.91,297.92365,48.777321,15.54
CONFIRMED,0,0,0,0,4.49876511,171.34905,0.312,3.7362,460,2.1,1133,389.62,29.5,1,6075,4.486,0.969,298.45685,48.791592,15.395
FALSE POSITIVE,0,1,0,0,19.65120951,179.401981,0.723,5.2514,11766,12.42,730,67.03,513.4,1,6074,4.391,1.063,291.0939,48.933842,15.536
CONFIRMED,0,0,0,0,5.412203927,133.143089,0.787,2.9472,601.6,2.94,1093,337.68,166.7,1,5779,4.339,1.087,287.88733,46.276241,12.791
CONFIRMED,0,0,0,0,41.43958662,208.93203,0.355,10.5989,2793.1,5.5,516,16.72,141.1,1,5468,4.367,1.046,295.55505,49.017342,15.4
CONFIRMED,0,0,0,0,8.35389523,171.63257,0.023,2.2514,1041.6,2.52,790,91.9,43.4,1,5592,4.582,0.787,285.49924,49.277351,15.317
CONFIRMED,0,0,0,0,4.125543472,169.752585,0.597,3.1744,1487.3,4.43,1243,565.35,128.6,1,6174,4.417,1.103,291.93616,49.253979,15.506
CONFIRMED,0,0,0,0,2.816504904,170.9676846,0.105,2.50587,16814,12.21,1219,521.13,1406.8,1,5532,4.452,0.955,297.01547,49.225288,15.052
FALSE POSITIVE,0,1,1,0,33.93373447,186.67608,0.812,14.561,8503.7,7.34,430,8.11,236.1,1,5040,4.628,0.705,284.17233,49.360722,15.716
CONFIRMED,0,0,0,0,4.431238488,171.015,0.405,3.15,1010.9,3.25,1104,351.23,71.1,1,5714,4.428,1.015,295.81616,51.121738,15.367
